Skill group,Skill component,Stage,Task,Domain
CONCEPTUAL SKILLS,Mental agility,Development,Testing,Innovation
CONCEPTUAL SKILLS,Synthesis,Development,Testing,Innovation
CRITICAL SELF-REFLECTION SKILLS,External self-awareness,Development,Testing,Innovation
CRITICAL SELF-REFLECTION SKILLS,Internal self-awareness,Development,Testing,Innovation
CRITICAL SELF-REFLECTION SKILLS,Self-regulation,Development,Testing,Innovation
EVALUATIVE SKILLS,Comparative reasoning,Development,Testing,Innovation
EVALUATIVE SKILLS,Critical analysis,Development,Testing,Innovation
EVALUATIVE SKILLS,Decision making,Development,Testing,Innovation
EVALUATIVE SKILLS,Evidence gathering,Development,Testing,Innovation
EVALUATIVE SKILLS,Interpretation,Development,Testing,Innovation
EVALUATIVE SKILLS,Pattern recognition,Development,Testing,Innovation
EVALUATIVE SKILLS,Problem solving,Development,Testing,Innovation
ORGANISATIONAL SKILLS,Forecasting,Development,Testing,Innovation
ORGANISATIONAL SKILLS,Knowledge brokering,Development,Testing,Innovation
ORGANISATIONAL SKILLS,Modelling,Development,Testing,Innovation
ORGANISATIONAL SKILLS,Organising,Development,Testing,Innovation
ORGANISATIONAL SKILLS,Technical skills,Development,Testing,Innovation
RELATIONAL SKILLS,Active listening,Development,Testing,Innovation
RELATIONAL SKILLS,Communication,Development,Testing,Innovation
RELATIONAL SKILLS,Delegation,Development,Testing,Innovation
RELATIONAL SKILLS,Feedback,Development,Testing,Innovation
CONCEPTUAL SKILLS,Systems thinking,Development,Administration,Entrepreneurship
ORGANISATIONAL SKILLS,Organising,Development,Administration,Entrepreneurship
ORGANISATIONAL SKILLS,Prioritisation,Development,Administration,Entrepreneurship
RELATIONAL SKILLS,Communication,Development,Administration,Entrepreneurship
CONCEPTUAL SKILLS,Strategic thinking,Identification,Business Case Development,Entrepreneurship
CONCEPTUAL SKILLS,Synthesis,Identification,Business Case Development,Entrepreneurship
EVALUATIVE SKILLS,Critical analysis,Identification,Business Case Development,Entrepreneurship
EVALUATIVE SKILLS,Environment scanning,Identification,Business Case Development,Entrepreneurship
EVALUATIVE SKILLS,Evidence gathering,Identification,Business Case Development,Entrepreneurship
ORGANISATIONAL SKILLS,Forecasting,Identification,Business Case Development,Entrepreneurship
ORGANISATIONAL SKILLS,Modelling,Identification,Business Case Development,Entrepreneurship
